City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,tocopilla,-22.092,-70.1979,18.83,72,43,2.78,CL,1697415714
138,kargasok,59.0556,80.8572,3.31,83,99,4.02,RU,1697415768
139,harstad,68.799,16.5293,5.09,98,100,18.33,NO,1697415769
140,tralee,52.2704,-9.7026,6.7,87,100,2.72,IE,1697415769
141,gilgit,35.9221,74.3087,13.41,68,100,1.1,PK,1697415769
142,mbeya,-8.9,33.45,17.31,79,71,2.7,TZ,1697415769
143,domna,51.8971,113.1573,-0.91,58,89,3.0,RU,1697415770
144,guerrero negro,27.9769,-114.0611,24.38,56,0,5.82,MX,1697415510
145,cornelio procopio,-23.1811,-50.6467,23.02,71,21,3.88,BR,1697415770
146,ribeira grande,38.5167,-28.7,21.54,90,89,10.28,PT,1697415770
147,puerto lempira,15.2667,-83.7667,28.08,74,40,0.0,HN,1697415771
148,tlahualilo de zaragoza,26.1167,-103.45,25.85,45,0,2.87,MX,1697415772
149,el calafate,-50.3408,-72.2768,6.17,73,39,4.6,AR,1697415772
150,kavalerovo,44.2661,135.0572,5.86,80,1,5.81,RU,1697415772
151,port douglas,-16.4833,145.4667,25.01,60,89,1.81,AU,1697415752
152,nyurba,63.2842,118.3319,-6.61,86,100,3.5,RU,1697415774
153,mildura,-34.2,142.15,15.6,49,20,9.5,AU,1697415774
154,urucurituba,-2.6833,-57.6667,28.24,56,60,1.71,BR,1697415774
155,portland,45.5234,-122.6762,21.55,73,100,1.54,US,1697415064
156,sabha,27.0377,14.4283,23.07,20,0,3.01,LY,1697415775
157,kununurra,-15.7667,128.7333,31.99,15,42,1.54,AU,1697415525
158,cabo san lucas,22.8909,-109.9124,32.01,73,0,5.14,MX,1697415567
159,tarare,45.8976,4.4327,7.49,67,100,1.6,FR,1697415775
160,napili-honokowai,20.9708,-156.6705,29.61,81,98,3.9,US,1697415776
161,port lincoln,-34.7333,135.8667,13.59,61,57,7.24,AU,1697415568
162,iqaluit,63.7506,-68.5145,-2.15,74,75,2.57,CA,1697415776
163,isangel,-19.55,169.2667,28.06,69,75,7.72,VU,1697415768
164,naze,28.3667,129.4833,23.51,51,51,5.09,JP,1697415777
165,ballina,-28.8667,153.5667,32.1,47,1,4.24,AU,1697415777
166,carauari,-4.8828,-66.8958,24.74,88,57,1.19,BR,1697415777
167,brookings,44.3114,-96.7984,10.1,78,0,3.6,US,1697415669
168,al bayda,32.7627,21.7551,16.12,90,13,3.79,LY,1697415778
169,krasnyy yar,46.5331,48.3456,13.86,71,0,4.17,RU,1697415778
170,nova vicosa,-17.8919,-39.3719,23.91,85,7,2.92,BR,1697415778
171,bodo,67.28,14.405,6.54,69,20,10.29,NO,1697415778
172,sotouboua,8.5667,0.9833,26.02,92,91,1.8,TG,1697415779
173,penzance,50.1186,-5.5371,11.38,66,100,8.36,GB,1697415714
174,mungwi,-10.1732,31.3694,22.84,46,89,1.8,ZM,1697415779
175,antonio enes,-16.2325,39.9086,25.15,85,63,4.24,MZ,1697415779
176,baidoa,3.1138,43.6498,22.87,89,81,4.29,SO,1697415780
177,saint-francois,46.4154,3.9054,5.93,93,0,1.03,FR,1697415780
178,kaa-khem,51.6833,94.7333,6.34,81,100,1.69,RU,1697415780
179,labytnangi,66.6572,66.4183,0.17,99,100,4.68,RU,1697415780
180,ruma,45.0081,19.8222,8.9,79,100,5.64,RS,1697415781
181,anadyr,64.75,177.4833,2.28,87,75,2.0,RU,1697415781
182,qarazhal,48.0078,70.7903,4.38,70,41,1.51,KZ,1697415781
183,mancio lima,-7.6142,-72.8958,27.62,65,96,1.42,BR,1697415781
184,dadukou,26.5479,101.7054,17.25,90,25,0.58,CN,1697415782
185,tolanaro,-25.0319,46.9987,22.04,83,75,2.06,MG,1697415782
186,nemuro,43.3236,145.575,14.35,73,100,5.66,JP,1697415782
187,galle,6.0367,80.217,25.86,86,98,1.45,LK,1697415782
188,arkhangel'sk,64.5401,40.5433,3.96,78,82,5.29,RU,1697415782
189,rawai,7.7797,98.3253,29.43,76,100,6.45,TH,1697415783
190,guatrache,-37.6678,-63.5302,16.13,68,97,4.48,AR,1697415783
191,avarua,-21.2078,-159.775,23.03,64,75,5.14,CK,1697415783
192,minas de marcona,-15.2119,-75.1103,15.44,79,37,4.53,PE,1697415784
193,yuzhno-kurilsk,44.0306,145.8556,14.1,69,100,5.08,RU,1697415784
194,galiakot,23.5167,74.0,24.52,57,1,2.03,IN,1697415784
195,luderitz,-26.6481,15.1594,14.72,79,0,1.02,NA,1697415784
196,severoural'sk,60.1533,59.952,7.21,92,100,4.22,RU,1697415785
197,dudinka,69.4058,86.1778,-6.85,91,34,3.58,RU,1697415785
198,paris,48.8534,2.3488,8.41,67,0,4.12,FR,1697415487
199,alofi,-19.0595,-169.9187,26.94,61,82,8.23,NU,1697415785
200,sandnessjoen,66.0217,12.6316,2.29,64,100,13.51,NO,1697415786
201,zhelezinka,53.54,75.3072,3.46,74,13,3.82,KZ,1697415786
202,labis,2.385,103.021,24.09,92,100,1.07,MY,1697415786
203,del rio,29.3627,-100.8968,28.06,23,0,5.66,US,1697415592
204,kavaratti,10.5669,72.642,27.38,71,68,1.04,IN,1697415786
205,vega de alatorre,20.0333,-96.6333,23.7,89,100,5.0,MX,1697415787
206,palasa,18.7667,84.4167,23.18,67,8,1.62,IN,1697415787
207,novodvinsk,64.4165,40.8122,3.77,78,89,5.16,RU,1697415557
208,lompoc,34.6391,-120.4579,27.23,74,0,5.81,US,1697415748
209,pionerskiy,54.9508,20.2275,10.08,61,60,7.65,RU,1697415788
210,chonchi,-42.6128,-73.8092,8.56,96,66,1.14,CL,1697415788
211,zhizdra,53.746,34.7395,7.12,83,100,2.01,RU,1697415788
212,selogiri,-7.7833,110.8667,27.47,63,16,1.86,ID,1697415788
213,bonito,-21.1211,-56.4819,26.98,56,61,0.32,BR,1697415788
214,gadzhiyevo,69.2551,33.3362,4.89,90,100,10.51,RU,1697415789
